epoch,lr,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,time_s
1,0.0009938441702975688,0.11539689387218537,0.0009995893126194734,0.0008332603923295604,0.035807640540717854,0.0001636542567395393,8.320312720036115e-05,281.2509479522705
2,0.0009755282581475768,0.037529168116411764,0.0013604096924451309,0.0013337127667883521,0.03346063347883744,1.5748848655326678e-09,1.5748848655326678e-09,279.14835357666016
3,0.0009455032620941839,0.03373902215142409,0.0023751024376167432,0.00187212590729974,0.033056827501790356,0.001951465520885043,0.0010677179323404663,280.1064102649689
4,0.0009045084971874737,0.03098045625303556,0.01589699666537609,0.00965968685373335,0.03419635902241905,0.0006505320669320931,0.00032841027841039934,282.4401295185089
5,0.0008535533905932737,0.032232555496895104,0.030837496204885798,0.019254206669635888,0.03141452873697375,0.007939037359991722,0.004748440453910732,282.1642985343933
6,0.0007938926261462366,0.031961400769918595,0.037536318307648815,0.022949037491058474,0.030419189003434512,0.016511472584360268,0.009216601388361634,281.8612940311432
7,0.0007269952498697733,0.029105737529193786,0.08347083879361104,0.0517315069595843,0.02542662615011824,0.06495686905990147,0.037749436610290586,338.8558473587036
8,0.0006545084971874737,0.0284027169044309,0.09692765110948173,0.060895799605870576,0.03154369358821671,0.08393873188710248,0.04998831125807223,606.7985427379608
9,0.0005782172325201155,0.026267910256962384,0.13912127299715266,0.08886482105370017,0.024479149020101766,0.1114744436575999,0.06865918750263302,551.7294929027557
10,0.0005,0.024238140740176963,0.1722115932067748,0.1122298113281512,0.025019627175118665,0.16353144061898825,0.10480713758995328,556.7470529079437
11,0.0004217827674798847,0.02429048011808186,0.16824918801413885,0.10886523240214854,0.023753245001529703,0.13343414967492215,0.08325777010957434,452.53720903396606
12,0.00034549150281252633,0.023942941482222056,0.1863427395980433,0.12206796397333983,0.021362359146818076,0.22144807218846152,0.14668221485169547,532.9695026874542
13,0.00027300475013022663,0.022591967505520266,0.20890173129129067,0.13755028327448862,0.05668706369429532,0.1739739461351735,0.11256530518523733,482.99450159072876
14,0.00020610737385376348,0.021645381881239212,0.21935008766992198,0.14441955783042465,0.02408695661711811,0.12353750037719839,0.07409896978876804,425.6684937477112
15,0.00014644660940672625,0.022615951367311427,0.2022158252456999,0.13259823296561288,0.01940141905947487,0.21721982955356303,0.14224559188553013,324.25378799438477
16,9.549150281252631e-05,0.020800331350754167,0.2307987859208626,0.15319640668757517,0.018674035842465884,0.24764390685716534,0.16607285814139566,483.8254647254944
17,5.4496737905816096e-05,0.020585688529384052,0.24337553008563528,0.16188529186354675,0.01880586905275831,0.2335574337175245,0.15512343994134317,575.2352871894836
18,2.447174185242323e-05,0.019872553408106973,0.2492416185891994,0.16602891093761138,0.01856520344125162,0.23120280436243076,0.153616457756841,406.6533718109131
19,6.15582970243117e-06,0.019629414122768238,0.2588454547084522,0.1732265922824282,0.01806200033809879,0.2468758692324051,0.16537589576016964,265.3697135448456
20,0.0,0.01949974308356127,0.2605565377382731,0.17467564834947294,0.017931692117806708,0.25376463691141493,0.17056798668910222,265.8368511199951
