epoch,train_loss,train_acc,val_loss,val_acc,time_s
1,1.8134255832290649,37.486,1.3223191661834717,51.41,19.883360624313354
2,1.3467017457580566,50.942,1.1085885507583617,59.67,16.647581338882446
3,1.186543529663086,57.638,1.0282862089157105,62.42,17.228840351104736
4,1.0951756060791016,61.152,0.933090994644165,67.04,19.850282430648804
5,1.034759062576294,63.492,0.8802971324920654,68.69,42.61209464073181
6,0.9902573202896118,65.15,0.9235383891105652,66.52,32.56738233566284
7,0.9513979136276245,66.434,0.8946037856101989,68.11,40.5718207359314
8,0.9293527938461303,67.494,0.8285990074157715,70.94,34.006882429122925
9,0.9034749690246582,68.41,0.8019630285263062,71.42,30.890262126922607
10,0.8874670762825012,69.036,0.7487346405029297,73.99,27.76688814163208
11,0.8711080443000794,69.468,0.7595538172721863,73.6,31.298452138900757
12,0.8506922430038452,70.296,0.7271542037010192,74.32,31.143147706985474
13,0.837584898109436,70.998,0.7259637050628662,74.26,30.955137491226196
14,0.8241980186843872,71.488,0.7177085318565368,74.8,30.886123180389404
15,0.813971236667633,71.754,0.679351400756836,76.51,32.56921935081482
16,0.7976756647872925,72.516,0.7006642999649048,75.48,33.29796886444092
17,0.7845225273704529,73.004,0.7389218509674073,74.05,30.492642402648926
18,0.7789011611938477,73.092,0.6759894792556763,76.27,42.75854778289795
19,0.7678910808181763,73.468,0.6910085395812988,75.55,41.811803579330444
20,0.7626729798507691,73.616,0.6762743931293488,76.04,41.15484166145325
